,Class,NER
474,EVENT,九州熊本強震
156,EVENT,二次大戰
392,EVENT,水門案
505,EVENT,熊本地震
552,EVENT,普度法會
322,GPE,高雄縣
178,GPE,高雄左營
127,GPE,熊本縣市
73,GPE,中華民國
74,GPE,九州熊本縣
303,GPE,高雄市仁武區
82,GPE,台北
411,GPE,美國
308,GPE,苓雅區
125,GPE,熊本市
355,GPE,台北市
352,GPE,高雄縣市
351,GPE,苗栗縣
349,GPE,鳳山
128,GPE,日方
52,GPE,日本
579,GPE,甲仙區
50,GPE,熊本
146,GPE,緬甸
4,GPE,高雄
11,GPE,高雄市
237,GPE,德國
17,GPE,旅德
461,GPE,蘇炎城
26,GPE,臺灣
29,GPE,台南
554,GPE,甲仙
32,GPE,台灣
162,GPE,泰國
170,GPE,越南
49,GPE,熊本縣
100,LAW,高雄市壽山動物園認養辦法
420,LAW,憲法
6,LOC,嘉義文化園區
96,NORP,台灣
210,NORP,高雄人
225,NORP,日商
64,NORP,日本
566,NORP,道教
297,NORP,仁武
55,NORP,日本人
314,ORG,癌生物學系
1,ORG,文化部
310,ORG,公衛所
292,ORG,台塑仁武廠
291,ORG,亦宛然掌中劇團
290,ORG,明華園歌仔戲團
279,ORG,明華園總團
277,ORG,台塑集團
273,ORG,台塑
311,ORG,陽明公衛所
299,ORG,紙風車劇團
386,ORG,福特
330,ORG,高雄阮綜合醫院
571,ORG,林務局
555,ORG,高雄道德院
501,ORG,日本交流協會
498,ORG,市政府
477,ORG,團結聯盟
454,ORG,議會
444,ORG,國民黨團
443,ORG,聯盟
442,ORG,民進黨團
323,ORG,高醫大
434,ORG,高雄市議會
399,ORG,民主黨
394,ORG,國防部長
271,ORG,台塑企業
348,ORG,陽明大學
346,ORG,中研院生醫所
345,ORG,北市衛生局
339,ORG,美國國家衛生院
334,ORG,陽明醫學系
331,ORG,哈佛大學公共衛生學院
416,ORG,華盛頓
270,ORG,明華園戲劇總團
313,ORG,國民黨
255,ORG,交通局
141,ORG,社會局
138,ORG,政府
132,ORG,高市府
122,ORG,熊本縣廳
120,ORG,高雄銀行公庫部
117,ORG,高雄市政府社會局
115,ORG,高雄市政府社
112,ORG,中宇環保工程公司
109,ORG,一卡通票證公司
104,ORG,高市府觀光局
102,ORG,正興輪胎
101,ORG,壽山動物園
87,ORG,Yahoo
79,ORG,熊本縣政府
78,ORG,外交部
33,ORG,工程會
267,ORG,高雄市政府交通局
34,ORG,衛武營
35,ORG,衛武國家藝術文化中心
58,ORG,台南市長
53,ORG,台中市長
152,ORG,美國農村發展組織
153,ORG,農業局
116,ORG,九州熊本震災
44,ORG,臺中國家歌劇院
229,ORG,日商ＴＤＫ
228,ORG,市府
234,ORG,日月光
226,ORG,東台精機公司
221,ORG,東台精機
19,ORG,臺北國家兩廳院
218,ORG,市議會
246,ORG,三菱東京日聯銀行
12,ORG,故宮南院
204,ORG,中央
191,ORG,民進黨
179,ORG,國會
496,PERSON,郭建盟
507,PERSON,吳銘賜
14,PERSON,顏久榮
556,PERSON,甲仙天
506,PERSON,簡煥宗
561,PERSON,鍾盛有
503,PERSON,陳信瑜
484,PERSON,康議長
490,PERSON,邱俊憲
495,PERSON,張漢忠
564,PERSON,翁太明
499,PERSON,李喬如
493,PERSON,陳明澤
497,PERSON,陳慧文
2,PERSON,吳宏謀
485,PERSON,林瑩蓉
510,PERSON,羅鼎城
546,PERSON,顏曉菁
514,PERSON,陳政聞
547,PERSON,陳順利
543,PERSON,張豐藤
540,PERSON,黃淑美
539,PERSON,周玲妏
533,PERSON,林芳如
530,PERSON,何權峰
549,PERSON,三清太乙
550,PERSON,崇仙亭
511,PERSON,翁瑞珠
42,PERSON,洪孟啟
528,PERSON,伊斯坦大．貝雅夫．正福
553,PERSON,三清道祖
526,PERSON,鄭光峰
525,PERSON,李雨庭
522,PERSON,陳導民
518,PERSON,李柏毅
544,PERSON,俄鄧．殷艾
515,PERSON,高閔琳
31,PERSON,簡文彬
517,PERSON,林宛蓉
425,PERSON,Iran-contrascandal
465,PERSON,黃石龍
384,PERSON,CasparW.Weinberger
343,PERSON,朱立倫
337,PERSON,黃柏霖
333,PERSON,林國正
148,PERSON,蔡復進
326,PERSON,陳寶輝
316,PERSON,陳皆興
315,PERSON,陳宜民
175,PERSON,UBaMyoThein
388,PERSON,蔡英文
207,PERSON,林全
302,PERSON,許慧玉
293,PERSON,王詹樣
230,PERSON,日月暘
287,PERSON,王永在
282,PERSON,項羽
281,PERSON,沈英章
235,PERSON,陳菊昨
276,PERSON,明華園
272,PERSON,孫翠鳳
306,PERSON,劉景寬
472,PERSON,曾俊傑
395,PERSON,尼克森
400,PERSON,小英
51,PERSON,賴清德
459,PERSON,吳益政
458,PERSON,林民傑
457,PERSON,蔡昌達
455,PERSON,康裕成
451,PERSON,張勝盼
447,PERSON,李順進
61,PERSON,柯文哲
69,PERSON,陳菊
99,PERSON,林佳龍
440,PERSON,張勝富
424,PERSON,陳水扁
423,PERSON,愛德華甘迺迪
422,PERSON,fullpardon
415,PERSON,布希
413,PERSON,老布希
412,PERSON,克林頓
408,PERSON,福特
403,PERSON,布希特
402,PERSON,阿扁
70,PERSON,馬英九
580,PERSON,仙官
